text,slot,intent
book a that serves in,O O B-restaurant_type O O B-served_dish B-spatial_relation I-spatial_relation I-spatial_relation O B-state,BookRestaurant
let me see the movie for,O O O O O B-object_type O B-movie_name I-movie_name I-movie_name,SearchScreeningEvent
play a by,O O B-music_item O B-artist I-artist,PlayMusic
what is the weather like in the city of in the country of,O O O O O O O O O B-city O O O O B-country,GetWeather
put this on playlist,O O B-music_item O B-playlist_owner O B-playlist I-playlist I-playlist I-playlist I-playlist,AddToPlaylist
will it be in,O O O B-condition_temperature O B-state,GetWeather
rate a,O B-object_select B-object_type O B-rating_value,RateBook
find some,B-spatial_relation I-spatial_relation I-spatial_relation O O B-movie_type,SearchScreeningEvent
what will be showing at a local,O B-object_type O B-movie_name I-movie_name I-movie_name O O O O O B-object_location_type,SearchScreeningEvent
book a for,O O B-restaurant_type O B-party_size_number,BookRestaurant
play by,O B-track I-track I-track I-track O B-artist I-artist,PlayMusic
i want to hear a,O O O O O B-artist I-artist B-music_item,PlayMusic
i want to book a from,O O O O O B-restaurant_type B-spatial_relation I-spatial_relation O B-poi I-poi,BookRestaurant
rate in as a for which gets a,O O B-rating_unit O O B-best_rating O B-object_name I-object_name I-object_name I-object_name O O O B-rating_value,RateBook
add to playlist named,O B-entity_name I-entity_name O B-playlist_owner O O B-playlist,AddToPlaylist
rate my out of,O O B-object_select B-object_type B-rating_value O O B-best_rating,RateBook
what is the weather from,O O O O B-spatial_relation I-spatial_relation O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,GetWeather
add to the playlist named,O B-entity_name I-entity_name O O O O B-playlist I-playlist,AddToPlaylist
will it in,O O B-condition_description O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,GetWeather
play on,O B-genre O B-service,PlayMusic
add the entire into,O O O B-music_item O B-playlist I-playlist,AddToPlaylist
for the out of possible i give the one a,O O B-object_type O O B-best_rating O O O O B-object_select O O B-rating_value,RateBook
show me the for,O O O B-object_type I-object_type O B-location_name I-location_name,SearchScreeningEvent
please find the,O O O B-object_type B-object_name I-object_name,SearchCreativeWork
rate out of,O B-object_select B-object_type B-rating_value O O B-best_rating,RateBook
is at,O B-movie_name I-movie_name I-movie_name O B-location_name I-location_name,SearchScreeningEvent
play by on,O B-music_item O B-artist O B-service,PlayMusic
rate the a,O O B-object_select B-object_type O B-rating_value,RateBook
can you pull up a on by,O O O O O B-music_item O B-service O B-artist I-artist,PlayMusic
find,O B-object_name I-object_name I-object_name,SearchCreativeWork
find a,O B-object_name O B-object_type,SearchCreativeWork
rate the out of,O O B-object_select B-object_type B-rating_value O O B-best_rating,RateBook
add this to the playlist called,O O B-music_item O O O O B-playlist,AddToPlaylist
find,O B-object_name I-object_name I-object_name,SearchCreativeWork
i give out of,O O B-object_name I-object_name I-object_name B-rating_value O O B-best_rating B-rating_unit,RateBook
i d like to go to the in party of,O O O O O O O B-restaurant_name I-restaurant_name O B-country O O B-party_size_number,BookRestaurant
is it supposed to my at,O O O O B-condition_description B-spatial_relation O B-current_location I-current_location O B-timeRange I-timeRange I-timeRange,GetWeather
give / to the,O B-rating_value O B-best_rating B-rating_unit O O B-object_select B-object_type,RateBook
put onto playlist,O B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
show me the called,O O O B-object_type O B-object_name I-object_name I-object_name,SearchCreativeWork
rate a,O B-object_name I-object_name I-object_name I-object_name O B-rating_value,RateBook
find a called,O O B-object_type I-object_type O B-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
add to playlist,O B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
what is the weather supposed to be like in,O O O O O O O O O B-state I-state B-timeRange I-timeRange I-timeRange I-timeRange,GetWeather
find the called,O O B-object_type O B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
what are playing at,O B-movie_type O O O B-location_name I-location_name I-location_name,SearchScreeningEvent
i rated a of,O O B-object_name I-object_name I-object_name I-object_name B-object_part_of_series_type O B-rating_value O B-best_rating,RateBook
i m looking for the of,O O O O O B-object_type O B-object_name I-object_name,SearchCreativeWork
add this to playlist named,O O B-music_item O B-playlist_owner O O B-playlist I-playlist,AddToPlaylist
rate of,O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value O B-best_rating,RateBook
search for,O O B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
add to,O B-music_item O B-playlist I-playlist I-playlist I-playlist I-playlist I-playlist,AddToPlaylist
i d like to be put into playlist,O O O B-artist I-artist O O O O B-playlist_owner O B-playlist I-playlist I-playlist,AddToPlaylist
find the,O O B-object_name I-object_name I-object_name I-object_name I-object_name B-object_type,SearchCreativeWork
i want to watch the,O O O O O B-object_type I-object_type B-object_name I-object_name,SearchCreativeWork
book a reservation for a with in,O O O O O B-restaurant_type O B-served_dish I-served_dish I-served_dish O B-country,BookRestaurant
show the,O O B-object_name I-object_name B-object_type,SearchCreativeWork
put this in,O O B-music_item O B-playlist I-playlist,AddToPlaylist
book me seats for at the that serves,O O O O B-party_size_number O O B-sort B-restaurant_type O O B-cuisine B-spatial_relation B-poi I-poi,BookRestaurant
play from the,O B-artist I-artist O O B-year,PlayMusic
add a to playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
i d like to see the,O O O O O O B-object_type B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
give a rating of of,O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name O O O B-rating_value O B-best_rating B-rating_unit,RateBook
for the i give,O O B-object_type B-object_name I-object_name I-object_name I-object_name O O B-rating_value B-rating_unit,RateBook
will it be in,O O O B-condition_temperature B-timeRange O B-city I-city,GetWeather
play by,O B-album I-album I-album O B-artist I-artist,PlayMusic
i want to book for in,O O O O B-restaurant_name I-restaurant_name O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-state,BookRestaurant
book a place at,O O B-timeRange O O B-party_size_number,BookRestaurant
find the for,O O B-object_type I-object_type O B-movie_type I-movie_type B-spatial_relation I-spatial_relation,SearchScreeningEvent
add to playlist,O B-artist I-artist O B-playlist I-playlist O,AddToPlaylist
i need a reservation for with a party of at,O O O O O B-timeRange I-timeRange O O O O B-party_size_number O B-city I-city,BookRestaurant
what is the called,O O O B-object_type O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
find a called,O O B-object_type O B-object_name I-object_name I-object_name,SearchCreativeWork
add to playlist,O B-music_item O B-playlist_owner B-playlist O,AddToPlaylist
what are playing at the,O B-movie_type O O O O B-spatial_relation B-object_location_type I-object_location_type,SearchScreeningEvent
add to playlist called,O B-entity_name I-entity_name I-entity_name O B-playlist_owner O O B-playlist I-playlist I-playlist I-playlist,AddToPlaylist
play a,O O B-artist I-artist B-music_item,PlayMusic
add to the playlist,O B-entity_name O O B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
add this to,O O B-music_item O B-playlist,AddToPlaylist
find an art called,O O O O B-object_name,SearchCreativeWork
i want to eat at a,O O O O O O B-served_dish I-served_dish B-restaurant_type B-timeRange I-timeRange I-timeRange,BookRestaurant
give a,O B-object_select B-object_part_of_series_type O B-rating_value,RateBook
add the to the playlist,O O B-music_item O O B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
i need a table at at,O O O O O B-restaurant_name I-restaurant_name O B-timeRange I-timeRange I-timeRange,BookRestaurant
will it be in on,O O O B-condition_description O B-city O B-timeRange I-timeRange,GetWeather
i want to give out of,O O O O B-object_name I-object_name I-object_name I-object_name B-rating_value O O B-best_rating B-rating_unit,RateBook
play music from,O O O B-year,PlayMusic
play,O B-service,PlayMusic
please look up the,O O O O B-object_name I-object_name I-object_name B-object_type,SearchCreativeWork
find a called,O O B-object_type I-object_type O B-object_name I-object_name,SearchCreativeWork
find the with,O O B-spatial_relation B-object_location_type I-object_location_type O B-movie_type,SearchScreeningEvent
can you pull up,O O O O B-object_name I-object_name I-object_name,SearchCreativeWork
play music,O B-year O,PlayMusic
find a called,O O B-object_type O B-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
is playing at at the,O B-movie_name I-movie_name I-movie_name I-movie_name O O B-timeRange I-timeRange I-timeRange O O B-spatial_relation B-object_location_type,SearchScreeningEvent
she me,O O B-object_type I-object_type,SearchScreeningEvent
put on,O B-entity_name I-entity_name O B-playlist I-playlist I-playlist I-playlist,AddToPlaylist
what is the weather in,O O O O O B-country I-country,GetWeather
give to,O B-rating_value B-rating_unit O B-object_name I-object_name I-object_name I-object_name,RateBook
which are playing at,O B-movie_type O O O B-location_name I-location_name,SearchScreeningEvent
play,O B-artist I-artist I-artist,PlayMusic
add this to the playlist,O O B-music_item O O B-playlist I-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
give out of to,O B-rating_value O O B-best_rating O B-object_select B-object_type,RateBook
give out of to,O B-rating_value O O B-best_rating O B-object_name I-object_name I-object_name,RateBook
show,O B-object_type I-object_type,SearchScreeningEvent
find me the entitled,O O O B-object_type O B-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
give out of,O B-object_select B-object_type B-rating_value O O B-best_rating B-rating_unit,RateBook
weather for,O O B-spatial_relation B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,GetWeather
i d like a table in a in a on,O O O O O O O B-facility I-facility O O B-restaurant_type O B-timeRange I-timeRange I-timeRange,BookRestaurant
i give it a rating value of to to a called,O O O O O O O B-rating_value O B-best_rating O O B-object_type O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name,RateBook
add to,O B-entity_name O B-playlist_owner B-playlist I-playlist,AddToPlaylist
rate the of,O O B-object_select B-object_type B-rating_value O B-best_rating,RateBook
book me a table for people at a with a,O O O O O B-party_size_number O O O B-restaurant_type O O B-facility,BookRestaurant
i want to listen to music on,O O O O O B-genre O O B-service,PlayMusic
rate a,O B-object_select B-object_type O B-rating_value,RateBook
use to play music,O B-service O O O,PlayMusic
what will the weather be like in,O O O O O O B-timeRange I-timeRange I-timeRange I-timeRange O B-country,GetWeather
include on playlist,O B-artist I-artist O B-playlist I-playlist O,AddToPlaylist
make a reservation for at a with,O O O O B-party_size_number O O B-restaurant_type O B-facility,BookRestaurant
add to playlist,O B-playlist_owner B-music_item O B-playlist I-playlist I-playlist O,AddToPlaylist
what are the for,O O O B-object_type I-object_type O B-movie_type B-spatial_relation I-spatial_relation,SearchScreeningEvent
what s the weather forecast for,O O O O O O B-city I-city,GetWeather
what will the weather be like from on,O O O O O O B-spatial_relation I-spatial_relation O B-state O B-timeRange I-timeRange I-timeRange,GetWeather
play by,O B-album I-album I-album I-album I-album I-album O B-artist I-artist,PlayMusic
has weather at,B-country B-city O B-condition_description O O B-timeRange I-timeRange,GetWeather
find,O B-object_name I-object_name I-object_name,SearchCreativeWork
play from,O B-sort B-music_item O B-year,PlayMusic
i need seating at in for a group of,O O O O B-restaurant_name I-restaurant_name O B-state O O O O B-party_size_number,BookRestaurant
play music on,O O O B-service I-service,PlayMusic
give to,O B-rating_value B-rating_unit O B-object_select B-object_part_of_series_type,RateBook
find,O B-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
i d like to find the,O O O O O O B-object_type B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
show the,O O B-object_name I-object_name I-object_name I-object_name B-object_type,SearchCreativeWork
what are the,O O O B-object_type I-object_type,SearchScreeningEvent
wish to hear the,O O O O B-object_type B-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
what is the that is playing,O O O B-spatial_relation B-object_location_type I-object_location_type O O O B-movie_name I-movie_name I-movie_name,SearchScreeningEvent
find a called,O O B-object_type O B-object_name I-object_name,SearchCreativeWork
where is playing,O O B-movie_name I-movie_name I-movie_name O,SearchScreeningEvent
can you play something from by on,O O O O O B-year O B-artist I-artist O B-service,PlayMusic
play music from by,O O O B-year O B-artist I-artist,PlayMusic
i want to add a by to playlist,O O O O O B-music_item O B-artist I-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
add to the playlist,O B-entity_name I-entity_name O O B-playlist I-playlist I-playlist O,AddToPlaylist
put this on playlist,O O B-music_item O B-playlist I-playlist I-playlist O,AddToPlaylist
rate with a bet rating of,O B-object_select B-object_part_of_series_type B-rating_value O O O O O B-best_rating,RateBook
find for,O B-object_type I-object_type O B-spatial_relation I-spatial_relation B-movie_type,SearchScreeningEvent
i give this out of,O O O B-object_select B-object_type B-rating_value O O B-best_rating B-rating_unit,RateBook
play me a by,O O O B-music_item O B-artist I-artist,PlayMusic
show creativity of,O O O B-object_name I-object_name I-object_name,SearchCreativeWork
i d like to watch at the,O O O O O B-movie_type O O B-spatial_relation B-object_location_type I-object_location_type,SearchScreeningEvent
what s the weather going to be in,O O O O O O O B-timeRange I-timeRange I-timeRange O B-state,GetWeather
add to playlist called,O B-entity_name I-entity_name O B-playlist_owner O O B-playlist I-playlist I-playlist I-playlist,AddToPlaylist
where can i find the of,O O O O O B-object_type O B-object_name I-object_name,SearchCreativeWork
what is the forecast for temps in,O O O O O B-condition_temperature O O B-state,GetWeather
i need a reservation for at a,O O O O O B-party_size_number B-timeRange I-timeRange O O B-restaurant_type,BookRestaurant
play the,O O B-music_item B-track I-track,PlayMusic
play some off of,O O B-year B-music_item O O B-service,PlayMusic
book a spot for at a,O O O O B-party_size_number O O B-cuisine I-cuisine B-restaurant_type,BookRestaurant
book a spot at a for in,O O O O O B-restaurant_type O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-country,BookRestaurant
play the from using,O O B-sort B-music_item O B-artist I-artist O B-service,PlayMusic
find the,O O B-object_type B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
add to the playlist,O B-entity_name I-entity_name I-entity_name I-entity_name I-entity_name O O B-playlist I-playlist O,AddToPlaylist
add songs in,O O B-music_item O B-playlist I-playlist,AddToPlaylist
i give the out of,O O O B-object_select B-object_type B-rating_value O O B-best_rating B-rating_unit,RateBook
book a restaurant on in,O O O O B-timeRange I-timeRange I-timeRange O B-city,GetWeather
add to playlist,O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
rate a,O B-object_select B-object_type O B-rating_value,RateBook
book a spot for at a in,O O O O B-party_size_number O O B-restaurant_type O B-city B-state,BookRestaurant
give me the weather forecast for on,O O O O O O B-city I-city O B-timeRange I-timeRange I-timeRange,GetWeather
add to the playlist,O B-entity_name I-entity_name I-entity_name I-entity_name O O O B-playlist I-playlist I-playlist,AddToPlaylist
add onto list,O B-entity_name I-entity_name I-entity_name I-entity_name I-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
looking for,O O B-object_type I-object_type B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
can i get a table at,O O O O O O B-restaurant_name I-restaurant_name,BookRestaurant
find the for at the at,O O B-object_type O B-movie_name I-movie_name O O B-spatial_relation B-object_location_type I-object_location_type O B-timeRange,SearchScreeningEvent
rate of,O B-object_select B-object_part_of_series_type B-rating_value O B-best_rating B-rating_unit,RateBook
the deserves a rating,O B-object_select B-object_part_of_series_type O O B-rating_value O,RateBook
what will the weather be at my on,O O O O O O O B-current_location I-current_location O B-timeRange I-timeRange I-timeRange I-timeRange,GetWeather
is showing,O B-movie_name I-movie_name I-movie_name O B-timeRange I-timeRange I-timeRange I-timeRange,SearchScreeningEvent
add to palylist,O B-entity_name O B-playlist_owner I-playlist_owner B-playlist I-playlist O,AddToPlaylist
when is playing at,O O B-movie_name I-movie_name I-movie_name I-movie_name O O B-location_name I-location_name,SearchScreeningEvent
find,O B-object_name I-object_name I-object_name,SearchCreativeWork
this gets for being and a,O B-object_type O B-rating_unit O O B-object_select O O B-rating_value,RateBook
find,O B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
add to playlist,O B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
find me,O O B-object_name I-object_name,SearchCreativeWork
add the name to playlist,O O O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
add in,O B-artist I-artist B-music_item O B-playlist I-playlist I-playlist I-playlist,AddToPlaylist
what is the forecast for weather in,O O O O O B-condition_temperature O O B-city,GetWeather
can you find me the of the,O O O O O B-object_type O O B-object_name I-object_name,SearchCreativeWork
play by,O B-track I-track I-track I-track I-track I-track O B-artist I-artist,PlayMusic
play by,O B-track I-track I-track I-track I-track O B-artist I-artist I-artist,PlayMusic
book a in for people,O O B-restaurant_type B-spatial_relation I-spatial_relation O B-city O B-party_size_number O,BookRestaurant
rate the,O O B-object_select B-object_type B-rating_value B-rating_unit,RateBook
play a by,O O B-year B-music_item O B-artist I-artist,PlayMusic
play music off of my,O B-year O O O O B-service,PlayMusic
rate of,O B-object_name I-object_name B-rating_value O B-best_rating B-rating_unit,RateBook
book a for at a that i can get a at,O O B-restaurant_type O B-party_size_number O O B-restaurant_type O O O O O B-served_dish O,BookRestaurant
rate out of,O B-object_name I-object_name I-object_name I-object_name I-object_name B-rating_value O O B-best_rating,RateBook
what time is showing,O O O B-movie_name I-movie_name O,SearchScreeningEvent
play music from,O O O B-year,PlayMusic
play,O B-album I-album I-album I-album I-album,PlayMusic
add this to,O O B-music_item O B-playlist I-playlist I-playlist,AddToPlaylist
can you find the,O O O O B-object_type B-object_name,SearchCreativeWork
add a to playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
find the,O O B-object_type B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
add a to the playlist,O O B-artist I-artist B-music_item O O B-playlist I-playlist O,AddToPlaylist
add the to,O O B-artist I-artist B-music_item O B-playlist,AddToPlaylist
book in for people,O B-restaurant_name I-restaurant_name I-restaurant_name O B-country I-country I-country I-country O B-party_size_number O,BookRestaurant
play some from,O O B-artist I-artist O B-year,PlayMusic
play a by,O O B-music_item I-music_item O B-artist I-artist,PlayMusic
book for at a that is,O B-poi I-poi O B-party_size_number O O B-restaurant_type B-facility O O B-spatial_relation I-spatial_relation,BookRestaurant
play the concert from concert on,O O O O B-artist I-artist B-year O O B-service,PlayMusic
add a to playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
is there going to be a in,O O O O O O B-condition_description B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,GetWeather
i give this and a best rating of,O O O B-object_select B-object_type B-rating_value B-rating_unit O O O O O B-best_rating,RateBook
give out of to,O B-rating_value O O B-best_rating B-rating_unit O B-object_name I-object_name I-object_name,RateBook
what is the local,O O O O B-object_type I-object_type,SearchScreeningEvent
what is the forecast for will it be,O O O O O B-state I-state O O O B-condition_description,GetWeather
what s the forecast for,O O O O O B-city B-country,GetWeather
can you put this onto the playlist,O O O O B-music_item O O O B-playlist I-playlist,AddToPlaylist
i want to book a that serves in for a party of in,O O O O O B-spatial_relation B-restaurant_type O O B-served_dish O B-state O O O O B-party_size_number O B-timeRange I-timeRange,BookRestaurant
rate out of,O B-object_select I-object_select B-object_type B-rating_value O O B-best_rating,RateBook
i need a table at a,O O O O O O B-sort I-sort B-restaurant_type,BookRestaurant
rate the,O O B-object_select B-object_type B-rating_value B-rating_unit,RateBook
what s the weather forecast from,O O O O O B-spatial_relation I-spatial_relation O B-current_location,GetWeather
i want to reserve a that has a,O O O O O B-restaurant_type O O O B-facility,BookRestaurant
play tunes,O B-service B-genre O,PlayMusic
play music from the from artist,O O O O B-sort O O B-artist I-artist,PlayMusic
use to play from,O B-service O O B-artist I-artist B-music_item O B-year,PlayMusic
find a reservation at a for a party of,O O O O O B-restaurant_type I-restaurant_type B-spatial_relation B-state O O O O B-party_size_number,BookRestaurant
add to the playlist,O B-entity_name O O B-playlist I-playlist I-playlist O,AddToPlaylist
what s the weather for in,O O O O O B-timeRange I-timeRange I-timeRange O B-state,GetWeather
show me the,O O O B-object_type B-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
give me,O O B-object_type I-object_type,SearchScreeningEvent
will it be in in,O O O B-condition_description O B-city O B-country,GetWeather
what are scheduled,O B-movie_type O O B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent
i would give a value of and a best rating of,O O O B-object_name I-object_name I-object_name I-object_name I-object_name O O O B-rating_value O O O O O B-best_rating,RateBook
give me some from on,O O O B-artist I-artist O B-year O B-service,PlayMusic
what are scheduled at,O B-movie_type O O O B-location_name I-location_name,SearchScreeningEvent
book a for people,O O B-restaurant_type O B-party_size_number O,BookRestaurant
find at,O B-object_type I-object_type O B-location_name I-location_name,SearchScreeningEvent
is it in,O O B-condition_temperature O B-city I-city B-country,GetWeather
find,O B-object_name I-object_name I-object_name I-object_name B-object_type,SearchCreativeWork
can you please give me the forecast for the,O O O O O O O O O B-country,GetWeather
show creativity of,O O O B-object_name I-object_name,SearchCreativeWork
book a table at in for,O O O O B-restaurant_name O B-city O B-party_size_description I-party_size_description I-party_size_description,BookRestaurant
what is the forecast for in for weather,O O O O O B-city I-city I-city O B-state O B-condition_temperature O,GetWeather
add to playlist,O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist O,AddToPlaylist
forecast for,O O B-city B-timeRange I-timeRange I-timeRange I-timeRange,GetWeather
i need a reservation for at a,O O O O O B-party_size_number O O B-restaurant_type,BookRestaurant
rate out of,O B-object_name I-object_name I-object_name B-rating_value O O B-best_rating,RateBook
add to list,O B-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist
book the for people,O O B-restaurant_name I-restaurant_name O B-party_size_number O,BookRestaurant
i want to watch,O O O O B-object_name,SearchCreativeWork
what s the weather in,O O O O O B-city,GetWeather
book a table for person at a in that serves food,O O O O B-party_size_number O O O B-sort B-restaurant_type O B-city O O B-cuisine O,BookRestaurant
show at,O B-object_type I-object_type O B-location_name I-location_name,SearchScreeningEvent
i want a in for of us,O O O B-restaurant_type O B-state O B-party_size_number O O,BookRestaurant
play by on,O B-track O B-artist I-artist O B-service I-service,PlayMusic
in for,B-restaurant_type O B-country O B-party_size_description I-party_size_description I-party_size_description I-party_size_description,BookRestaurant
search for,O O B-object_name I-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
play by,O B-track I-track O B-artist I-artist,PlayMusic
add to,O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist I-playlist,AddToPlaylist
i want the weather for,O O O O O B-country I-country B-timeRange I-timeRange,GetWeather
is playing,O B-movie_name I-movie_name I-movie_name O,SearchScreeningEvent
find the for,O O B-object_type I-object_type O B-location_name I-location_name,SearchScreeningEvent
was out of,B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name O B-rating_value O O B-best_rating B-rating_unit,RateBook
show creativity of of,O O O B-object_type O B-object_name I-object_name,SearchCreativeWork
i am looking for the creative work,O O O O O O O B-object_name I-object_name I-object_name,SearchCreativeWork
add to,O B-artist I-artist O B-playlist I-playlist,AddToPlaylist
add to playlist,O B-entity_name O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist
add to,O B-playlist I-playlist I-playlist O B-playlist_owner B-artist I-artist,AddToPlaylist
i would give the a rating of,O O O O B-object_part_of_series_type B-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name I-object_name O O O B-rating_value B-rating_unit,RateBook
play a by on,O O B-year B-music_item O B-artist I-artist I-artist O B-service I-service,PlayMusic
find a called,O O B-object_type I-object_type O B-object_name I-object_name I-object_name I-object_name,SearchCreativeWork
will it at,O O B-condition_description B-current_location O B-timeRange,GetWeather
give a for this,O B-object_select O B-rating_value O O B-object_type,RateBook
can you add to playlist entitled,O O O B-entity_name I-entity_name O B-playlist_owner O O B-playlist I-playlist I-playlist,AddToPlaylist
can you use to play a from by,O O O B-service O O O B-music_item O B-year O B-artist I-artist,PlayMusic
